#       time             L^2_Ham             L^2_Mom               <chi>               <rho>                 <K>
   0.0000000    1.6086483618e+01    1.9966439710e-06    1.0000000000e+00    1.8411791351e-02   -5.7126905362e-02
   0.0131263    1.6078010954e+01    6.3826972545e-05    9.9868378495e-01    1.8411780828e-02   -6.3183361567e-02
